Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",98.650000,-43.075000,90.000000,top
"C2","100n","C_0402_1005Metric",110.425000,-43.830000,-90.000000,top
"C3","100n","C_0402_1005Metric",102.150000,-40.275000,0.000000,top
"C4","100n","C_0402_1005Metric",107.175000,-52.025000,180.000000,top
"C5","10u","C_0603_1608Metric",94.800000,-52.575000,90.000000,top
"C6","10n","C_0402_1005Metric",98.675000,-47.500000,90.000000,top
"C7","1u","C_0402_1005Metric",97.800000,-53.705000,-90.000000,top
"C8","1u","C_0402_1005Metric",97.725000,-51.255000,90.000000,top
"C9","100n","C_0402_1005Metric",99.945000,-38.950000,0.000000,top
"C10","10p","C_0402_1005Metric",95.150000,-45.705000,-90.000000,top
"C11","10p","C_0402_1005Metric",95.125000,-48.025000,90.000000,top
"C12","22u","C_0603_1608Metric",115.795000,-57.570000,180.000000,top
"C13","22u","C_0603_1608Metric",112.595000,-57.570000,180.000000,top
"C14","100n","C_0402_1005Metric",104.800000,-32.020000,-90.000000,top
"C15","100n","C_0402_1005Metric",99.860000,-56.680000,90.000000,top
"D1","RED","LED_0603_1608Metric",119.070000,-57.620000,0.000000,top
"D2","RED","LED_0603_1608Metric",104.200000,-53.700000,180.000000,top
"FB1","FerriteBead","L_0603_1608Metric",99.325000,-52.355000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",121.310000,-42.535000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",123.310000,-32.790000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",113.460000,-36.560000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",123.675000,-49.875000,0.000000,top
"R1","10k","R_0402_1005Metric",102.300000,-37.525000,0.000000,top
"R2","10k","R_0402_1005Metric",100.100000,-41.500000,0.000000,top
"R3","1k5","R_0402_1005Metric",114.220000,-43.820000,-90.000000,top
"R4","1k5","R_0402_1005Metric",118.800000,-53.940000,180.000000,top
"R5","1k5","R_0402_1005Metric",102.000000,-54.780000,90.000000,top
"R6","1k5","R_0402_1005Metric",106.785000,-40.175000,180.000000,top
"R7","1k5","R_0402_1005Metric",104.525000,-40.250000,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",92.590000,-38.320000,-90.000000,top
"SW2","SW_SPDT","SW_SPDT_PCM12",99.580000,-32.500000,180.000000,top
"SW3","SW_SPDT","SW_SPDT_PCM12",104.940000,-58.600000,0.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",104.550000,-46.175000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",114.132500,-52.220000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",92.875000,-46.825000,-90.000000,top
